Marca temporal,¿Qué tan claro lo encontró?,Qué tan complicado lo encontró?,¿Qué nota le pondría a la nueva forma de votar?,¿Dentro de qué rango está su edad?,Observado por encuestador/a: Sexo de persona encuestada,
15/12/2019 11:17:19,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:17:39,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 11:17:57,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:18:32,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:18:55,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:19:02,Muy claro,Nada complicado,5,Entre 61 y 70,Hombre,
15/12/2019 11:19:44,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:20:30,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 11:20:37,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 11:20:55,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:21:22,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:21:22,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:21:49,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:21:57,Muy claro,Nada complicado,5,71 o más,Mujer,
15/12/2019 11:22:00,Muy claro,Poco complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:22:02,Muy claro,Poco complicado,5,Entre 51 y 60,Hombre,
15/12/2019 11:22:13,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:22:30,Muy claro,Poco complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:22:30,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:22:36,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 11:23:23,Muy claro,Poco complicado,6,Entre 51 y 60,Mujer,
15/12/2019 11:23:35,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:23:40,Muy claro,Nada complicado,6,Entre 61 y 70,Mujer,
15/12/2019 11:23:54,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 11:24:58,Poco claro,Nada complicado,6,Entre 61 y 70,Hombre,
15/12/2019 11:25:03,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:25:16,Muy claro,Nada complicado,7,71 o más,Mujer,
15/12/2019 11:25:36,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:25:36,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:26:12,Muy claro,Poco complicado,7,71 o más,Mujer,
15/12/2019 11:26:47,Muy claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 11:27:27,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 11:27:39,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:28:08,Muy claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 11:28:08,Muy claro,Poco complicado,6,Entre 41 y 50,Hombre,
15/12/2019 11:28:12,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 11:28:13,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:28:15,Poco claro,Muy complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:28:46,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:29:04,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:29:26,Muy claro,Poco complicado,5,Entre 31 y 40,Hombre,
15/12/2019 11:29:27,Muy claro,Nada complicado,6,Entre 51 y 60,Hombre,
15/12/2019 11:30:26,Muy claro,Poco complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:30:27,Muy claro,Poco complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:30:33,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 11:31:24,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 11:31:30,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 11:31:57,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 11:32:01,Muy claro,Poco complicado,6,Entre 61 y 70,Hombre,
15/12/2019 11:32:29,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:32:30,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:32:34,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 11:33:14,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:33:36,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 11:34:02,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 11:34:26,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:34:40,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 11:34:57,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:35:28,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:35:31,Muy claro,Nada complicado,5,Entre 21 y 30,Mujer,
15/12/2019 11:35:34,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:35:55,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:36:03,Muy claro,Poco complicado,7,Entre 31 y 40,Hombre,
15/12/2019 11:36:38,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 11:36:42,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:37:12,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 11:37:15,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:37:29,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 11:37:31,Muy claro,Poco complicado,6,Entre 21 y 30,Mujer,
15/12/2019 11:38:08,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:38:15,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 11:38:21,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:38:37,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:38:56,Muy claro,Nada complicado,6,Entre 41 y 50,Hombre,
